0.9983066916465759 ,  0.0005993969389237463 ,  0.0003809243789874017 ,  0.0007184043643064797
  
0.9983124732971191 ,  4.0409719076706097e-05 ,  4.108903885935433e-05 ,  -2.4697968910913914e-05
  
0.9983119368553162 ,  -0.00048216647701337934 ,  -0.00030206405790522695 ,  -0.0007783285691402853
  
-0.9983118176460266 ,  0.0009069283260032535 ,  -0.0003597394679673016 ,  0.00016854546265676618
  
0.9983119368553162 ,  -0.00033071820507757366 ,  0.0007252323557622731 ,  0.0005804249085485935
  
0.9983124136924744 ,  0.0001401444897055626 ,  7.848988025216386e-05 ,  -2.1284826289047487e-05
  
0.9983119368553162 ,  -0.0003144018992315978 ,  0.0007309888023883104 ,  0.000572423858102411
  
-0.9983104467391968 ,  0.0007523929234594107 ,  -0.0013985888799652457 ,  -0.001162227476015687
  
-0.9983089566230774 ,  0.0001742669119266793 ,  -0.0017819287022575736 ,  -0.0018994675483554602
  
0.9983108639717102 ,  0.0002913492207881063 ,  0.0011305934749543667 ,  0.0013097368646413088
  
-0.9983118176460266 ,  0.00027186673833057284 ,  -0.0007719573914073408 ,  -0.0005725686787627637
  
-0.9983104467391968 ,  0.0007026148959994316 ,  -0.0014498840318992734 ,  -0.0011507411254569888
  
0.9983106255531311 ,  -0.0012295986525714397 ,  0.001391484634950757 ,  0.0003642038500402123
  
-0.9983065724372864 ,  0.0016122297383844852 ,  -0.0028689459431916475 ,  -0.0009027580381371081
  
0.9983065128326416 ,  -0.0021461357828229666 ,  0.0026952936314046383 ,  0.00014801621728111058
  
-0.9983065128326416 ,  0.0027024189475923777 ,  -0.0020425075199455023 ,  0.000549881428014487
  
-0.9983052015304565 ,  0.0032569465693086386 ,  -0.0014653013786301017 ,  0.0012549106031656265
  
0.998302698135376 ,  -0.003813898889347911 ,  0.000902683415915817 ,  -0.0019654761999845505
  
-0.9983041286468506 ,  0.0031348485499620438 ,  -0.0001799478632165119 ,  0.0025709480978548527
  
-0.9983078241348267 ,  0.0023916782811284065 ,  -0.0016499652992933989 ,  0.0007992290193215013
  
-0.998279333114624 ,  0.0021217407193034887 ,  -0.0006569364340975881 ,  -0.007797109894454479
  
0.9981684684753418 ,  -0.0017988847102969885 ,  -0.0027378378435969353 ,  0.0166249331086874
  
-0.997941792011261 ,  0.0021699443459510803 ,  0.0039637405425310135 ,  -0.026813849806785583
  
0.9977197647094727 ,  -0.002250674646347761 ,  -0.004759586416184902 ,  0.03398820757865906
  
-0.9975311756134033 ,  0.0026449928991496563 ,  0.004823567345738411 ,  -0.03910254314541817
  
0.9974027872085571 ,  -0.0032892031595110893 ,  -0.006020368076860905 ,  0.04205513373017311
  
0.9972396492958069 ,  -0.003750275354832411 ,  -0.006081616040319204 ,  0.045708488672971725
  
-0.997096061706543 ,  0.0041367728263139725 ,  0.006790671497583389 ,  -0.04862295836210251
  
-0.9968745112419128 ,  0.0034908705856651068 ,  0.0058077857829630375 ,  -0.05313492566347122
  
-0.9966080784797668 ,  0.003271282883360982 ,  0.005260022357106209 ,  -0.05798370763659477
  
0.9964285492897034 ,  -0.0036383226979523897 ,  -0.006246048957109451 ,  0.060877203941345215
  
0.9962593913078308 ,  -0.003621388226747513 ,  -0.007084374316036701 ,  0.06349781900644302
  
0.9961249232292175 ,  -0.0034916475415229797 ,  -0.00770219461992383 ,  0.06551250070333481
  
-0.9959338903427124 ,  0.003062773961573839 ,  0.008660511113703251 ,  -0.06825871765613556
  
-0.9958237409591675 ,  0.0034166369587183 ,  0.009923310950398445 ,  -0.06965597718954086
  
0.9957757592201233 ,  -0.00392010435461998 ,  -0.010124803520739079 ,  0.0702841579914093
  
0.9958792328834534 ,  -0.0035278231371194124 ,  -0.01390061341226101 ,  0.06816910207271576
  
-0.9958767294883728 ,  0.002575124381110072 ,  0.017667200416326523 ,  -0.06736423075199127
  
-0.9959001541137695 ,  0.0015781486872583628 ,  0.01906328834593296 ,  -0.06666384637355804
  
0.996150016784668 ,  -0.003630066057667136 ,  -0.017073240131139755 ,  0.06331397593021393
  
0.996284544467926 ,  -0.0042585586197674274 ,  -0.013708014041185379 ,  0.061954475939273834
  
0.9963505864143372 ,  -0.004078651778399944 ,  -0.022271322086453438 ,  0.05831369012594223
  
-0.9962502121925354 ,  0.0015112543478608131 ,  0.028011729940772057 ,  -0.0576765350997448
  
0.996027946472168 ,  -0.0009045049082487822 ,  -0.026916256174445152 ,  0.06189507246017456
  
0.9957467317581177 ,  -0.000980218406766653 ,  -0.01659660041332245 ,  0.06956404447555542
  
0.9953106045722961 ,  -0.0006034756661392748 ,  -0.009863365441560745 ,  0.07672247290611267
  
-0.9948519468307495 ,  0.00025840793387033045 ,  0.008538647554814816 ,  -0.08260378241539001
  
0.994515061378479 ,  -0.0014651382807642221 ,  -0.007296949625015259 ,  0.08667493611574173
  
-0.9942100644111633 ,  0.0038365721702575684 ,  0.00331280124373734 ,  -0.09026313573122025
  
-0.9939926862716675 ,  0.006101652979850769 ,  -0.004341755528002977 ,  -0.0924641564488411
  
0.9938936829566956 ,  -0.002745309378951788 ,  -0.0016564099350944161 ,  0.0937708169221878
  
0.9940274953842163 ,  -0.004219680093228817 ,  -0.005200390238314867 ,  0.09215503185987473
  
-0.9940500259399414 ,  0.004446815233677626 ,  0.0014227683423087 ,  -0.09203814715147018
  
0.9941550493240356 ,  -0.001354878069832921 ,  -0.0005514405784197152 ,  0.09100384265184402
  
-0.9947017431259155 ,  0.0034137885086238384 ,  0.00014837612980045378 ,  -0.0847645103931427
  
