683432.72989, 3,  -0.044, -0.110,  9.736, 4,   0.000,  0.002,  0.000, 5,  -6.700,-15.900, 14.100 ,  0.0
  
683432.73990, 3,  -0.043, -0.108,  9.743, 4,   0.001, -0.001, -0.002, 5,  -6.700,-15.900, 14.100 ,  0.01001000008545816
  
683432.74989, 3,  -0.042, -0.099,  9.738, 4,   0.001, -0.000, -0.001, 5,  -6.700,-15.900, 14.100 ,  0.009989999933168292
  
683432.75989, 3,  -0.043, -0.105,  9.738, 4,   0.002,  0.001, -0.000, 5,  -6.700,-15.900, 14.100 ,  0.010000000009313226
  
683432.76988, 3,  -0.042, -0.102,  9.748, 4,   0.002,  0.001,  0.001, 5,  -6.700,-15.900, 14.100 ,  0.009990000049583614
  
683432.77993, 3,  -0.043, -0.104,  9.749, 4,  -0.000, -0.000,  0.000, 5,  -6.700,-15.900, 14.100 ,  0.010049999924376607
  
683432.78993, 3,  -0.044, -0.108,  9.747, 4,   0.001,  0.001,  0.000, 5,  -6.800,-15.900, 14.100 ,  0.010000000009313226
  
683432.79993, 3,  -0.040, -0.116,  9.742, 4,  -0.001,  0.001,  0.000, 5,  -6.800,-15.900, 14.100 ,  0.010000000009313226
  
683432.80993, 3,  -0.044, -0.105,  9.746, 4,   0.000, -0.000,  0.001, 5,  -6.800,-15.900, 14.100 ,  0.010000000009313226
  
683432.81994, 3,  -0.041, -0.115,  9.729, 4,   0.001, -0.001,  0.000, 5,  -6.800,-15.900, 14.100 ,  0.010009999969042838
  
683432.82988, 3,  -0.041, -0.111,  9.741, 4,  -0.002, -0.001, -0.001, 5,  -6.800,-16.000, 14.100 ,  0.00994000001810491
  
683432.83988, 3,  -0.043, -0.105,  9.740, 4,   0.003, -0.001, -0.000, 5,  -6.800,-16.000, 14.100 ,  0.010000000009313226
  
683432.84994, 3,  -0.041, -0.101,  9.747, 4,  -0.000, -0.001, -0.001, 5,  -6.800,-15.900, 14.100 ,  0.01006000000052154
  
683432.85993, 3,  -0.044, -0.104,  9.738, 4,   0.001,  0.001,  0.001, 5,  -6.800,-15.900, 14.100 ,  0.009990000049583614
  
683432.86996, 3,  -0.044, -0.109,  9.740, 4,  -0.000, -0.001, -0.000, 5,  -6.700,-15.900, 14.000 ,  0.010030000004917383
  
683432.87988, 3,  -0.047, -0.114,  9.738, 4,   0.001,  0.001, -0.000, 5,  -6.700,-15.900, 14.000 ,  0.009919999982230365
  
683432.88993, 3,  -0.044, -0.104,  9.738, 4,   0.001,  0.002, -0.003, 5,  -6.700,-15.900, 14.100 ,  0.010049999924376607
  
683432.89994, 3,  -0.044, -0.105,  9.744, 4,  -0.002,  0.001, -0.001, 5,  -6.700,-15.900, 14.100 ,  0.01001000008545816
  
683432.90988, 3,  -0.043, -0.114,  9.734, 4,   0.002,  0.001, -0.001, 5,  -6.700,-15.900, 14.100 ,  0.00994000001810491
  
683432.91993, 3,  -0.045, -0.108,  9.740, 4,   0.001,  0.001,  0.001, 5,  -6.700,-15.900, 14.100 ,  0.010049999924376607
  
683432.92993, 3,  -0.044, -0.110,  9.740, 4,   0.001,  0.001, -0.001, 5,  -6.800,-16.000, 14.100 ,  0.010000000009313226
  
683432.93993, 3,  -0.043, -0.099,  9.729, 4,  -0.000, -0.001,  0.000, 5,  -6.800,-16.000, 14.100 ,  0.010000000009313226
  
683432.94988, 3,  -0.044, -0.108,  9.743, 4,   0.003,  0.002,  0.000, 5,  -6.800,-16.000, 14.100 ,  0.009949999977834523
  
683432.95993, 3,  -0.041, -0.097,  9.728, 4,   0.002,  0.002, -0.000, 5,  -6.800,-16.000, 14.100 ,  0.010050000040791929
  
683432.96987, 3,  -0.043, -0.107,  9.736, 4,   0.001,  0.001,  0.001, 5,  -6.800,-16.000, 14.100 ,  0.00994000001810491
  
683432.97988, 3,  -0.044, -0.105,  9.743, 4,   0.000, -0.000, -0.001, 5,  -6.800,-16.000, 14.100 ,  0.010009999969042838
  
683432.98988, 3,  -0.044, -0.111,  9.740, 4,   0.002,  0.001, -0.001, 5,  -6.800,-16.000, 14.200 ,  0.010000000009313226
  
683432.99987, 3,  -0.043, -0.110,  9.738, 4,   0.002, -0.001, -0.000, 5,  -6.800,-16.000, 14.200 ,  0.009990000049583614
  
683433.00986, 3,  -0.044, -0.115,  9.741, 4,   0.001, -0.001,  0.000, 5,  -6.800,-16.000, 14.200 ,  0.009989999933168292
  
683433.01987, 3,  -0.041, -0.102,  9.741, 4,  -0.001, -0.001, -0.002, 5,  -6.800,-16.000, 14.200 ,  0.010009999969042838
  
683433.02987, 3,  -0.044, -0.107,  9.747, 4,  -0.001,  0.001, -0.001, 5,  -6.800,-16.000, 14.200 ,  0.010000000009313226
  
683433.03987, 3,  -0.047, -0.107,  9.752, 4,   0.003, -0.000,  0.002, 5,  -6.800,-16.000, 14.200 ,  0.010000000009313226
  
683433.04991, 3,  -0.043, -0.104,  9.738, 4,   0.003,  0.002,  0.002, 5,  -6.800,-16.000, 14.200 ,  0.010039999964646995
  
683433.05991, 3,  -0.043, -0.104,  9.737, 4,   0.002,  0.002,  0.001, 5,  -6.800,-16.000, 14.200 ,  0.010000000009313226
  
683433.06988, 3,  -0.043, -0.108,  9.746, 4,  -0.001, -0.000, -0.000, 5,  -6.800,-16.100, 14.200 ,  0.009970000013709068
  
683433.07988, 3,  -0.043, -0.111,  9.755, 4,  -0.001, -0.001,  0.001, 5,  -6.800,-16.100, 14.200 ,  0.010000000009313226
  
683433.08987, 3,  -0.038, -0.101,  9.740, 4,  -0.000,  0.001, -0.000, 5,  -6.700,-16.100, 14.300 ,  0.009990000049583614
  
683433.09988, 3,  -0.042, -0.107,  9.750, 4,   0.002,  0.001,  0.000, 5,  -6.700,-16.100, 14.300 ,  0.010009999969042838
  
683433.10988, 3,  -0.043, -0.116,  9.746, 4,  -0.000,  0.001, -0.001, 5,  -6.800,-16.100, 14.300 ,  0.010000000009313226
  
