
315964.94414, 3,  -0.205,  9.286,  2.704, 4,  -0.066, -0.037,  0.014, 5,  -9.260,  7.030, 16.750 ,  0.0
  
315964.95411, 3,  -0.229,  9.304,  2.726, 4,  -0.071, -0.010, -0.000, 5,  -7.840,  7.540, 17.070 ,  0.009970000013709068
  
315964.96408, 3,  -0.342,  9.309,  2.825, 4,  -0.056,  0.037, -0.005, 5,  -8.100,  7.000, 17.300 ,  0.009970000013709068
  
315964.97408, 3,  -0.348,  9.221,  2.851, 4,  -0.046,  0.043,  0.001, 5,  -8.100,  7.000, 17.300 ,  0.010000000009313226
  
315964.98412, 3,  -0.303,  9.196,  2.766, 4,  -0.052,  0.021,  0.006, 5,  -8.200,  7.300, 17.000 ,  0.010039999964646995
  
315964.99411, 3,  -0.277,  9.270,  2.667, 4,  -0.053, -0.010, -0.003, 5,  -8.200,  7.300, 17.000 ,  0.009990000049583614
  
315965.00412, 3,  -0.358,  9.339,  2.867, 4,  -0.055, -0.014, -0.006, 5,  -8.000,  7.300, 17.100 ,  0.010009999969042838
  
315965.01412, 3,  -0.411,  9.285,  2.971, 4,  -0.022, -0.005, -0.000, 5,  -8.000,  7.300, 17.100 ,  0.010000000009313226
  
315965.02412, 3,  -0.305,  9.249,  3.013, 4,   0.008,  0.001,  0.004, 5,  -8.100,  7.200, 17.200 ,  0.010000000009313226
  
315965.03408, 3,  -0.192,  9.243,  2.916, 4,   0.017,  0.009, -0.006, 5,  -8.100,  7.200, 17.200 ,  0.009959999995771796
  
315965.04412, 3,  -0.190,  9.306,  2.735, 4,   0.017,  0.006, -0.021, 5,  -7.900,  7.200, 17.200 ,  0.010039999964646995
  
315965.05412, 3,  -0.310,  9.358,  2.697, 4,  -0.001,  0.001, -0.027, 5,  -7.900,  7.200, 17.200 ,  0.010000000009313226
  
315965.06408, 3,  -0.425,  9.341,  2.763, 4,  -0.021, -0.027, -0.018, 5,  -8.000,  7.200, 17.200 ,  0.009959999995771796
  
315965.07407, 3,  -0.423,  9.360,  2.868, 4,  -0.034, -0.058, -0.007, 5,  -8.000,  7.200, 17.200 ,  0.009989999991375953
  
315965.08408, 3,  -0.351,  9.364,  2.963, 4,  -0.042, -0.066, -0.008, 5,  -8.000,  7.200, 17.300 ,  0.010010000027250499
  
315965.09412, 3,  -0.321,  9.328,  3.026, 4,  -0.039, -0.042, -0.019, 5,  -8.000,  7.200, 17.300 ,  0.010040000022854656
  
315965.10412, 3,  -0.340,  9.292,  3.133, 4,  -0.035, -0.002, -0.027, 5,  -7.900,  7.200, 17.100 ,  0.009999999951105565
  
315965.11412, 3,  -0.378,  9.284,  3.170, 4,  -0.028,  0.014, -0.023, 5,  -7.900,  7.200, 17.100 ,  0.010000000009313226
  
315965.12409, 3,  -0.411,  9.273,  3.114, 4,  -0.019,  0.002, -0.014, 5,  -8.000,  7.100, 17.200 ,  0.009970000013709068
  
315965.13413, 3,  -0.456,  9.301,  3.117, 4,  -0.004,  0.001, -0.006, 5,  -8.000,  7.100, 17.200 ,  0.010040000022854656
  
315965.14407, 3,  -0.445,  9.298,  3.095, 4,   0.027,  0.023, -0.001, 5,  -8.000,  7.200, 17.500 ,  0.00993999995989725
  
315965.15412, 3,  -0.382,  9.246,  3.044, 4,   0.049,  0.031,  0.006, 5,  -8.000,  7.200, 17.500 ,  0.010050000040791929
  
315965.16409, 3,  -0.306,  9.280,  2.819, 4,   0.050,  0.018,  0.009, 5,  -8.000,  7.200, 17.300 ,  0.009969999955501407
  
315965.17412, 3,  -0.317,  9.317,  2.758, 4,   0.042, -0.003,  0.010, 5,  -8.000,  7.200, 17.300 ,  0.010030000004917383
  
315965.18413, 3,  -0.350,  9.309,  2.723, 4,   0.038, -0.008,  0.007, 5,  -7.900,  7.200, 17.500 ,  0.010010000027250499
  
315965.19408, 3,  -0.356,  9.300,  2.739, 4,   0.021, -0.002,  0.007, 5,  -7.900,  7.200, 17.500 ,  0.009949999977834523
  
315965.20412, 3,  -0.379,  9.282,  2.755, 4,   0.003,  0.001,  0.011, 5,  -7.900,  7.200, 17.400 ,  0.010040000022854656
  
315965.21412, 3,  -0.395,  9.290,  2.737, 4,  -0.010,  0.010,  0.017, 5,  -7.900,  7.200, 17.400 ,  0.010000000009313226
  
315965.22408, 3,  -0.394,  9.287,  2.739, 4,  -0.006,  0.012,  0.021, 5,  -7.900,  7.200, 17.400 ,  0.009959999995771796
  
315965.23412, 3,  -0.364,  9.279,  2.765, 4,  -0.010,  0.006,  0.020, 5,  -7.900,  7.200, 17.400 ,  0.010039999964646995
  
315965.24412, 3,  -0.310,  9.294,  2.743, 4,  -0.016, -0.014,  0.023, 5,  -7.900,  7.300, 17.400 ,  0.010000000009313226
  
315965.25408, 3,  -0.281,  9.292,  2.728, 4,  -0.019, -0.037,  0.019, 5,  -7.900,  7.300, 17.400 ,  0.009959999995771796
  
315965.26408, 3,  -0.219,  9.306,  2.732, 4,  -0.013, -0.058,  0.009, 5,  -7.900,  7.300, 17.300 ,  0.010000000009313226
  
