848493.07051, 3,  -0.089, -0.062,  9.753, 4,   0.003,  0.002,  0.001, 5, -15.740, -3.460,  4.340
848493.08050, 3,  -0.083, -0.078,  9.754, 4,   0.002,  0.000,  0.001, 5, -15.980, -3.920,  2.750
848493.09046, 3,  -0.084, -0.086,  9.738, 4,   0.001, -0.001,  0.001, 5, -16.500, -3.400,  2.400
848493.10047, 3,  -0.079, -0.105,  9.754, 4,   0.000,  0.000,  0.001, 5, -16.500, -3.400,  2.400
848493.11049, 3,  -0.089, -0.108,  9.755, 4,   0.004,  0.001, -0.000, 5, -16.100, -3.300,  3.200
848493.12068, 3,  -0.090, -0.102,  9.741, 4,  -0.000,  0.001,  0.001, 5, -16.100, -3.300,  3.200
848493.13053, 3,  -0.079, -0.095,  9.750, 4,   0.001,  0.002, -0.002, 5, -15.900, -3.100,  3.300
848493.14059, 3,  -0.078, -0.078,  9.723, 4,   0.001,  0.000, -0.003, 5, -15.900, -3.100,  3.300
848493.15052, 3,  -0.091, -0.074,  9.741, 4,   0.002, -0.000,  0.002, 5, -15.900, -2.800,  3.000
848493.16048, 3,  -0.091, -0.072,  9.755, 4,  -0.000,  0.002,  0.001, 5, -15.900, -2.800,  3.000
848493.17054, 3,  -0.085, -0.057,  9.747, 4,   0.003, -0.000,  0.001, 5, -15.900, -2.900,  3.300
848493.18050, 3,  -0.096, -0.073,  9.730, 4,   0.001,  0.001, -0.000, 5, -15.900, -2.900,  3.300
848493.19064, 3,  -0.081, -0.080,  9.748, 4,   0.001,  0.000,  0.002, 5, -15.700, -2.800,  3.400
848493.20049, 3,  -0.089, -0.068,  9.750, 4,   0.001, -0.000, -0.001, 5, -15.700, -2.800,  3.400
848493.21047, 3,  -0.083, -0.062,  9.755, 4,   0.000, -0.000, -0.000, 5, -15.700, -2.800,  3.300
848493.22051, 3,  -0.071, -0.055,  9.746, 4,   0.001, -0.000, -0.002, 5, -15.700, -2.800,  3.300
848493.23050, 3,  -0.081, -0.062,  9.725, 4,   0.001,  0.002,  0.001, 5, -15.700, -2.800,  3.400
848493.24051, 3,  -0.095, -0.050,  9.748, 4,   0.002,  0.000, -0.001, 5, -15.700, -2.800,  3.400
848493.25050, 3,  -0.086, -0.048,  9.749, 4,   0.000,  0.001, -0.001, 5, -15.800, -2.800,  3.300
848493.26051, 3,  -0.109, -0.065,  9.738, 4,   0.001,  0.002, -0.001, 5, -15.800, -2.800,  3.300
848493.27056, 3,  -0.201, -0.182,  9.910, 4,   0.001, -0.000,  0.002, 5, -15.700, -2.800,  3.400
848493.28052, 3,  -0.107, -0.133,  9.510, 4,  -0.008,  0.006,  0.001, 5, -15.700, -2.800,  3.400
848493.29047, 3,  -0.124, -0.126,  9.456, 4,   0.003, -0.000, -0.001, 5, -15.700, -2.800,  3.500
