
327803.04502, 3,  -0.582,  8.633,  3.891, 4,   0.188, -0.021, -0.021, 5,  -5.500,  1.500, 18.900 ,  0.010030000004917383
  
327803.05503, 3,  -0.559,  8.622,  3.971, 4,   0.132, -0.071,  0.001, 5,  -5.500,  1.600, 18.900 ,  0.010009999969042838
  
327803.06499, 3,  -0.557,  8.714,  3.972, 4,   0.097, -0.089,  0.040, 5,  -5.500,  1.600, 18.900 ,  0.009959999995771796
  
327803.07500, 3,  -0.595,  8.835,  3.980, 4,   0.092, -0.096,  0.066, 5,  -5.500,  1.700, 18.900 ,  0.010010000027250499
  
327803.08502, 3,  -0.622,  8.924,  4.074, 4,   0.102, -0.110,  0.073, 5,  -5.500,  1.700, 18.900 ,  0.01001999998698011
  
327803.09505, 3,  -0.643,  8.934,  4.222, 4,   0.111, -0.121,  0.061, 5,  -5.500,  1.700, 18.900 ,  0.010030000004917383
  
327803.10504, 3,  -0.670,  8.865,  4.402, 4,   0.121, -0.121,  0.040, 5,  -5.500,  1.700, 18.900 ,  0.009989999991375953
  
327803.11505, 3,  -0.767,  8.784,  4.490, 4,   0.124, -0.102,  0.024, 5,  -5.500,  1.700, 19.000 ,  0.010010000027250499
  
327803.12504, 3,  -0.873,  8.717,  4.554, 4,   0.130, -0.059,  0.012, 5,  -5.500,  1.700, 19.000 ,  0.009989999991375953
  
327803.13506, 3,  -1.013,  8.698,  4.571, 4,   0.139, -0.008,  0.009, 5,  -5.500,  1.700, 19.000 ,  0.01001999998698011
  
327803.14501, 3,  -1.211,  8.833,  4.436, 4,   0.136,  0.034,  0.006, 5,  -5.500,  1.700, 19.000 ,  0.009949999977834523
  
327803.15506, 3,  -1.358,  9.005,  4.136, 4,   0.119,  0.054, -0.002, 5,  -5.500,  1.800, 19.000 ,  0.010050000040791929
  
327803.16504, 3,  -1.389,  8.956,  3.970, 4,   0.099,  0.027, -0.037, 5,  -5.500,  1.800, 19.000 ,  0.00997999997343868
  
327803.17500, 3,  -1.308,  8.794,  3.862, 4,   0.093, -0.012, -0.068, 5,  -5.500,  1.800, 19.000 ,  0.009959999995771796
  
327803.18500, 3,  -1.221,  8.625,  3.742, 4,   0.111, -0.044, -0.077, 5,  -5.500,  1.800, 19.000 ,  0.010000000009313226
  
327803.19501, 3,  -1.153,  8.554,  3.742, 4,   0.131, -0.084, -0.069, 5,  -5.500,  1.900, 19.100 ,  0.010010000027250499
  
327803.20503, 3,  -1.118,  8.616,  3.782, 4,   0.128, -0.138, -0.049, 5,  -5.500,  1.900, 19.100 ,  0.01001999998698011
  
327803.21504, 3,  -1.153,  8.744,  3.862, 4,   0.114, -0.179, -0.027, 5,  -5.500,  1.900, 19.100 ,  0.010009999969042838
  
327803.22498, 3,  -1.190,  8.844,  3.909, 4,   0.091, -0.198, -0.008, 5,  -5.500,  1.900, 19.100 ,  0.00994000001810491
  
327803.23503, 3,  -1.250,  8.818,  3.898, 4,   0.083, -0.186, -0.008, 5,  -5.500,  1.900, 19.100 ,  0.010049999982584268
  
327803.24502, 3,  -1.312,  8.695,  3.844, 4,   0.086, -0.154, -0.027, 5,  -5.500,  1.900, 19.100 ,  0.009989999991375953
  
327803.25499, 3,  -1.343,  8.517,  3.764, 4,   0.099, -0.126, -0.047, 5,  -5.500,  2.000, 19.100 ,  0.009970000013709068
  
327803.26501, 3,  -1.322,  8.357,  3.675, 4,   0.116, -0.092, -0.054, 5,  -5.500,  2.000, 19.100 ,  0.01001999998698011
  
327803.27498, 3,  -1.173,  8.311,  3.657, 4,   0.121, -0.075, -0.038, 5,  -5.500,  2.000, 19.100 ,  0.009970000013709068
  
327803.28499, 3,  -1.019,  8.483,  3.630, 4,   0.102, -0.068, -0.002, 5,  -5.500,  2.000, 19.100 ,  0.010010000027250499
  
327803.29499, 3,  -0.973,  8.741,  3.620, 4,   0.061, -0.082,  0.047, 5,  -5.500,  2.100, 19.100 ,  0.010000000009313226
  
327803.30500, 3,  -0.995,  8.927,  3.657, 4,   0.012, -0.134,  0.048, 5,  -5.500,  2.100, 19.100 ,  0.010009999969042838
  
327803.31505, 3,  -1.056,  9.011,  3.705, 4,   0.015, -0.158,  0.027, 5,  -5.500,  2.200, 19.100 ,  0.010049999982584268
  
327803.32500, 3,  -1.128,  8.909,  3.825, 4,   0.042, -0.185, -0.002, 5,  -5.500,  2.200, 19.100 ,  0.009950000036042184
  
327803.33504, 3,  -1.173,  8.653,  3.925, 4,   0.088, -0.193, -0.030, 5,  -5.500,  2.300, 19.100 ,  0.010039999964646995
  
327803.34500, 3,  -1.134,  8.381,  3.960, 4,   0.144, -0.184, -0.035, 5,  -5.500,  2.300, 19.100 ,  0.009959999995771796
  
