315609.21967, 3,   1.338,  5.648,  7.471, 4,   0.057,  0.057, -0.037, 5,   0.400, -4.700, 20.700 ,  0.0
  
315609.23966, 3,   1.142,  5.668,  7.482, 4,   0.043,  0.033,  0.058, 5,   0.400, -4.700, 20.700 ,  0.01999000000068918
  
315609.25966, 3,   0.966,  5.940,  7.640, 4,   0.022,  0.088,  0.093, 5,   0.300, -4.700, 20.700 ,  0.01999999996041879
  
315609.27966, 3,   0.594,  5.901,  7.819, 4,  -0.005,  0.229,  0.047, 5,   0.200, -4.700, 20.700 ,  0.02000000001862645
  
315609.29967, 3,  -0.068,  5.584,  7.835, 4,  -0.058,  0.464,  0.000, 5,   0.200, -4.700, 20.700 ,  0.020009999978356063
  
315609.31967, 3,  -0.769,  4.920,  7.446, 4,  -0.176,  0.582,  0.050, 5,   0.100, -4.700, 20.700 ,  0.02000000001862645
  
315609.33967, 3,  -0.747,  4.386,  7.369, 4,  -0.224,  0.350,  0.322, 5,   0.000, -4.700, 20.700 ,  0.02000000001862645
  
315609.35967, 3,  -0.071,  4.976,  8.000, 4,  -0.050,  0.046,  0.595, 5,   0.000, -4.700, 20.700 ,  0.01999999996041879
  
315609.37971, 3,   0.590,  5.642,  8.566, 4,   0.189, -0.045,  0.623, 5,  -0.100, -4.700, 20.700 ,  0.02004000003216788
  
315609.39971, 3,   0.757,  5.768,  8.285, 4,   0.262,  0.108,  0.556, 5,  -0.200, -4.700, 20.700 ,  0.02000000001862645
  
315609.41972, 3,   0.863,  5.482,  7.689, 4,   0.174,  0.142,  0.577, 5,  -0.300, -4.700, 20.700 ,  0.020009999978356063
  
315609.43972, 3,   1.403,  5.581,  7.847, 4,   0.104,  0.081,  0.723, 5,  -0.400, -4.700, 20.600 ,  0.02000000001862645
  
315609.45966, 3,   1.824,  6.105,  8.101, 4,   0.156,  0.115,  0.670, 5,  -0.500, -4.700, 20.700 ,  0.019939999969210476
  
315609.47971, 3,   1.963,  6.346,  8.309, 4,   0.146,  0.345,  0.521, 5,  -0.500, -4.700, 20.600 ,  0.020049999991897494
  
315609.49971, 3,   1.282,  6.105,  7.660, 4,   0.055,  0.566,  0.386, 5,  -0.600, -4.700, 20.600 ,  0.02000000001862645
  
315609.51971, 3,   0.743,  5.237,  6.992, 4,  -0.046,  0.450,  0.449, 5,  -0.700, -4.600, 20.500 ,  0.02000000001862645
  
315609.53971, 3,   0.948,  4.847,  7.300, 4,  -0.009,  0.169,  0.673, 5,  -0.800, -4.600, 20.400 ,  0.01999999996041879
  
315609.55971, 3,   1.484,  5.483,  8.095, 4,   0.154,  0.111,  0.742, 5,  -0.900, -4.600, 20.300 ,  0.02000000001862645
  
315609.57971, 3,   1.332,  6.106,  8.344, 4,   0.170,  0.359,  0.617, 5,  -1.000, -4.600, 20.200 ,  0.02000000001862645
  
315609.59971, 3,   0.432,  5.551,  8.077, 4,  -0.042,  0.777,  0.503, 5,  -1.100, -4.600, 20.200 ,  0.01999999996041879
  
